,return,risk
BFT.PL_9,0.05,0.12
ATA.PL,0.07,0.13
ZUE.PL,0.05,0.1
BEE.PL,0.12,0.43
LBW.PL,0.08,0.22
SFS.PL,0.1,0.32
VOT.PL,0.07,0.16
PDZ.PL,0.1,0.25
CLD.PL,0.06,0.14
KOM.PL,0.07,0.23
BMC.PL,0.08,0.35
MBF.PL,0.06,0.32
GRX.PL,0.1,0.24
WTN.PL,0.08,0.16
RSP.PL,0.09,0.13
MON.PL,0.05,0.11
BML.PL,0.05,0.29
ALG.PL,0.64,2.94
ELT.PL,0.06,0.16
LTS.PL_9,0.07,0.07
LTS.PL_4,0.07,0.07
ZEP.PL,0.05,0.21
ATR.PL,0.1,0.27
ODL.PL,0.05,0.08
ETL.PL,0.05,0.09
NVV.PL,0.11,0.91
4MS.PL,0.72,2.75
CIG.PL,0.09,0.16
NCL.PL,0.12,0.3
ATC.PL,0.07,0.14
SDS.PL,0.12,0.25
COG.PL,0.06,0.2
XTP.PL,0.06,0.17
SUN.PL,0.09,0.16
XTB.PL_9,0.06,0.12
ASB.PL,0.05,0.17
WAT.PL,0.06,0.47
OTSL.PL,0.1,0.17
SGN.PL,0.11,0.17
MRB.PL,0.05,0.14
SCP.PL,0.05,0.22
GOP.PL,0.05,0.17
BRS.PL_9,0.06,0.18
SPR.PL,0.05,0.13
ZRE.PL,0.09,0.22
BRS.PL_4,0.06,0.18
AGL.PL,0.05,0.06
UNT.PL,0.07,0.15
SNX.PL,0.16,0.37
