,return,risk
QRS.PL,0.0,0.08
HEL.PL,-0.02,0.06
KGH.PL_9,-0.0,0.12
CIE.PL_9,0.01,0.11
ANR.PL,0.02,0.12
PCO.PL,0.01,0.09
BFT.PL_9,0.05,0.12
OPM.PL,-0.02,0.08
SOK.PL,-0.02,0.15
ATA.PL,0.07,0.13
FMF.PL,0.02,0.1
GRC.PL,-0.0,0.08
IGN.PL,-0.01,0.27
EUR.PL_9,0.04,0.13
KRU.PL_4,0.02,0.14
MVP.PL,-0.0,0.1
CDL.PL,-0.01,0.09
MDG.PL,0.04,0.32
FOR.PL,-0.01,0.11
SEK.PL,0.01,0.1
GNB.PL_4,-0.08,0.18
DNP.PL_9,0.02,0.09
JRH.PL,0.01,0.18
SKA.PL,-0.0,0.05
OAT.PL,-0.02,0.18
BHW.PL_4,0.02,0.09
ZUE.PL,0.05,0.1
LWB.PL_9,0.03,0.2
TPE.PL_9,0.01,0.12
HUB.PL,-0.02,0.09
BIO.PL_9,-0.0,0.07
AMC.PL_9,-0.01,0.09
SNS.PL_4,,
ENA.PL_4,0.01,0.11
NWG.PL,0.01,0.12
BOW.PL,0.02,0.17
BEE.PL,0.12,0.43
MIL.PL_4,-0.03,0.13
ZWC.PL,-0.0,0.02
BOS.PL,0.01,0.09
KPD.PL,0.01,0.13
SKH.PL,-0.02,0.08
CLN.PL,-0.04,0.13
ENT.PL,0.03,0.11
BDX.PL_4,0.03,0.08
INL.PL,0.01,0.07
DDI.PL,-0.01,0.18
HPM.PL,0.03,0.12
JSW.PL_9,0.03,0.24
ARG.PL,-0.02,0.07
LBW.PL,0.08,0.22
CBD.PL,-0.02,0.25
ERB.PL_9,-0.01,0.12
GKI.PL,0.02,0.09
RFK.PL,-0.0,0.09
MRC.PL_9,-0.03,0.08
MWT.PL,0.01,0.08
SFS.PL,0.1,0.32
BEP.PL,-0.04,0.21
MNC.PL,-0.01,0.06
EAH.PL,-0.02,0.17
PKN.PL_9,-0.0,0.09
ACP.PL_4,0.01,0.06
SEV.PL,0.0,0.1
SON.PL,0.0,0.03
ZMT.PL,0.02,0.09
ING.PL_4,-0.03,0.09
THG.PL,-0.05,0.09
SBE.PL,-0.0,0.06
PZU.PL_9,0.01,0.1
DKR.PL,-0.01,0.08
SPL.PL_9,0.0,0.11
PEO.PL_4,-0.02,0.11
PTW.PL,0.01,0.09
ULG.PL,-0.03,0.08
MGT.PL,0.03,0.06
VOT.PL,0.07,0.16
CPS.PL_4,-0.03,0.07
CDA.PL,-0.0,0.07
GPP.PL,-0.01,0.13
NNG.PL,-0.04,0.21
CMR.PL,-0.01,0.06
PDZ.PL,0.1,0.25
CLD.PL,0.06,0.14
PKO.PL_4,-0.02,0.1
ACG.PL,0.01,0.08
MFO.PL,-0.02,0.09
WPR.PL,0.04,0.11
GIG.PL,0.0,0.09
PAT.PL,0.03,0.15
BLT.PL,0.01,0.14
LEN.PL,-0.01,0.05
TSG.PL,0.01,0.1
KOM.PL,0.07,0.23
APE.PL,0.01,0.17
BMC.PL,0.08,0.35
WWL.PL,0.01,0.05
SLT.PL,-0.03,0.16
RLP.PL,-0.01,0.05
PSW.PL,,
TOR.PL,0.03,0.11
PYL.PL,0.0,0.09
EAT.PL_4,-0.0,0.09
GEA.PL,0.02,0.1
LRQ.PL,-0.0,0.17
ATS.PL,-0.31,0.0
MBF.PL,0.06,0.32
TOA.PL,-0.01,0.09
B24.PL,0.02,0.07
MOL.PL,0.0,0.1
ATT.PL_4,0.0,0.15
OLY.PL,-0.08,0.16
GRX.PL,0.1,0.24
ULM.PL,0.01,0.07
PNW.PL,-0.04,0.19
EGH.PL,-0.01,0.09
DOM.PL_9,0.02,0.08
SEN.PL_9,-0.03,0.1
CEZ.PL_9,0.03,0.09
MTE.PL,-0.01,0.12
DVL.PL,0.01,0.11
WTN.PL,0.08,0.16
NGG.PL,-0.02,0.14
BMX.PL,-0.01,0.13
ICE.PL,0.0,0.16
BBD.PL,-0.02,0.1
VOX.PL,0.0,0.07
SNT.PL,0.04,0.09
KER.PL_9,-0.05,0.18
LSI.PL,-0.0,0.08
TOW.PL,-0.02,0.13
OPL.PL_4,-0.0,0.07
CAR.PL_4,0.01,0.1
SNK.PL,0.02,0.12
3RG.PL,-0.03,0.12
ALE.PL_9,0.01,0.13
HOR.PL,0.02,0.1
PUR.PL,-0.07,0.13
CTX.PL,0.0,0.11
SIM.PL,-0.04,0.2
BCX.PL,0.04,0.26
KTY.PL_9,0.0,0.09
IRL.PL,-0.18,0.14
RSP.PL,0.09,0.13
OPL.PL_9,-0.0,0.07
PND.PL,,
XPL.PL,-0.02,0.16
FEE.PL,,
TLG.PL,0.02,0.12
BCS.PL,0.02,0.08
MOC.PL,-0.02,0.17
MCR.PL,0.02,0.11
ATG.PL,-0.01,0.08
BTK.PL,0.01,0.15
CPG.PL,0.01,0.07
DADA.PL,-0.0,0.12
ENI.PL,-0.03,0.09
BBT.PL,-0.0,0.14
CDR.PL_9,-0.02,0.13
ABE.PL,-0.0,0.08
MON.PL,0.05,0.11
SEL.PL,0.01,0.1
BML.PL,0.05,0.29
CFG.PL,-0.02,0.2
ALG.PL,0.64,2.94
DBE.PL,0.01,0.19
CLC.PL,-0.01,0.27
ELT.PL,0.06,0.16
PUN.PL,0.01,0.2
KSG.PL,-0.01,0.1
SLV.PL,0.01,0.07
ECH.PL_4,0.0,0.07
ZAP.PL_4,0.0,0.09
MEX.PL,0.03,0.12
ZAP.PL_9,0.0,0.09
EEX.PL,-0.01,0.18
LTS.PL_9,0.07,0.07
GCN.PL,-0.06,0.19
PKN.PL_4,-0.0,0.09
ING.PL_9,-0.03,0.09
MMS.PL,0.02,0.15
YOL.PL,-0.09,0.23
PJP.PL,0.03,0.16
BLO.PL,0.02,0.1
WOJ.PL,0.04,0.09
NWA.PL,-0.02,0.11
TRN.PL,-0.0,0.1
ALR.PL_9,-0.01,0.14
BRU.PL,-0.02,0.09
01C.PL,-0.0,0.16
GPW.PL_9,-0.0,0.04
ALR.PL_4,-0.01,0.14
PCR.PL,0.02,0.13
VVD.PL,-0.0,0.12
GPW.PL_4,-0.0,0.04
APR.PL,0.01,0.08
KRC.PL,0.04,0.17
LTS.PL_4,0.07,0.07
GMT.PL,0.02,0.23
HUG.PL,0.01,0.1
CMP.PL,0.01,0.07
ZEP.PL,0.05,0.21
CRB.PL,-0.03,0.1
PSH.PL,-0.02,0.24
STP.PL,0.01,0.11
EDI.PL,0.01,0.13
DAT.PL,-0.05,0.13
SFD.PL,0.03,0.15
ATR.PL,0.1,0.27
MAB.PL,-0.04,0.2
CPS.PL_9,-0.03,0.07
NVT.PL,-0.01,0.13
PCX.PL,0.02,0.12
LTM.PL,-0.09,0.19
K2H.PL,0.03,0.08
ALL.PL,0.03,0.09
MBK.PL_4,-0.01,0.13
IZS.PL,0.01,0.09
KRI.PL,-0.03,0.09
AGT.PL,-0.02,0.12
RBW.PL,0.03,0.1
GBK.PL,,
LKD.PL,0.01,0.11
NTT.PL,0.01,0.08
KBT.PL,-0.03,0.21
WSE.PL,0.0,0.09
IZB.PL,-0.02,0.11
LTX.PL,-0.01,0.07
ODL.PL,0.05,0.08
ACT.PL,0.03,0.1
MDP.PL,-0.03,0.14
KGH.PL_4,-0.0,0.12
AML.PL,0.02,0.06
OBL.PL,0.02,0.1
CIE.PL_4,0.01,0.11
EUR.PL_4,0.04,0.13
KRU.PL_9,0.02,0.14
INC.PL,-0.03,0.15
ETL.PL,0.05,0.09
PLI.PL,0.01,0.08
EAT.PL_9,-0.0,0.09
JSW.PL_4,0.03,0.24
SHO.PL,-0.03,0.11
BDX.PL_9,0.03,0.08
LWB.PL_4,0.03,0.2
MLK.PL,-0.02,0.1
TPE.PL_4,0.01,0.12
NVV.PL,0.11,0.91
4MS.PL,0.72,2.75
JRC.PL,-0.0,0.09
EHG.PL,-0.08,0.15
WLT.PL,0.01,0.1
SET.PL,-0.05,0.17
CIG.PL,0.09,0.16
MSW.PL,-0.0,0.08
DPL.PL,0.0,0.12
HRP.PL,-0.01,0.15
KVT.PL,-0.0,0.07
K2I.PL,0.03,0.08
SWD.PL,0.01,0.12
RMK.PL,-0.0,0.08
AST.PL,0.01,0.17
AGO.PL_9,0.01,0.09
NCL.PL,0.12,0.3
ATC.PL,0.07,0.14
QUB.PL,-0.01,0.14
PKO.PL_9,-0.02,0.1
PAS.PL,-0.02,0.1
APN.PL,0.02,0.08
DNP.PL_4,0.02,0.09
MLG.PL,0.01,0.07
BHW.PL_9,0.02,0.09
GNB.PL_9,-0.08,0.18
SDS.PL,0.12,0.25
MBR.PL,-0.02,0.08
PWX.PL,0.0,0.05
CRM.PL,-0.02,0.09
